score,id,class,significance,file,line number,procedure,priority,state,finding,owner,url
50,5742256.7545223335,Inappropriate Assignment Type,Style,libdsmp.c,71,nw_send_err_indication,HB_PRIO_2,New,None,"",/warninginstance/7545223335.txt
50,5742258.7545223350,Inappropriate Assignment Type,Style,libdsmp.c,185,nw_mgmt_update_radio_status,HB_PRIO_2,New,None,"",/warninginstance/7545223350.txt
50,5742338.7545225031,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_monitor.c,426,wait_state_transition,HB_PRIO_2,New,None,"",/warninginstance/7545225031.txt
50,5742339.7545225044,Non-const String Literal,Style,sv2x_cn_mgmt_api_monitor.c,511,sv2x_cn_coc_start,HB_PRIO_2,New,None,"",/warninginstance/7545225044.txt
50,5742359.7545225121,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_monitor.c,971,sv2x_mgmt_get_cn_stack_error,HB_PRIO_2,New,None,"",/warninginstance/7545225121.txt
50,5742388.7545225123,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_monitor.c,979,sv2x_mgmt_get_cn_stack_error,HB_PRIO_2,New,None,"",/warninginstance/7545225123.txt
50,5742389.7545225122,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_monitor.c,975,sv2x_mgmt_get_cn_stack_error,HB_PRIO_2,New,None,"",/warninginstance/7545225122.txt
50,5742397.7545225118,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_monitor.c,962,sv2x_mgmt_get_cn_stack_error,HB_PRIO_2,New,None,"",/warninginstance/7545225118.txt
50,5742403.7545225117,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_monitor.c,958,sv2x_mgmt_get_cn_stack_error,HB_PRIO_2,New,None,"",/warninginstance/7545225117.txt
50,5742406.7545225120,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_monitor.c,968,sv2x_mgmt_get_cn_stack_error,HB_PRIO_2,New,None,"",/warninginstance/7545225120.txt
50,5742410.7545225119,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_monitor.c,965,sv2x_mgmt_get_cn_stack_error,HB_PRIO_2,New,None,"",/warninginstance/7545225119.txt
50,5742465.7545225438,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_stats.c,304,sv2x_cn_mgmt_get_fac_stats,HB_PRIO_2,New,None,"",/warninginstance/7545225438.txt
50,5742484.7545225440,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_stats.c,314,sv2x_cn_mgmt_get_fac_stats,HB_PRIO_2,New,None,"",/warninginstance/7545225440.txt
50,5864400.7545218712,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,347,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218712.txt
50,5864402.7545223352,Inappropriate Assignment Type,Style,libdsmp.c,211,nw_mgmt_get_rssi_antenna_measurement_value,HB_PRIO_2,New,None,"",/warninginstance/7545223352.txt
50,5864452.7545227074,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext.c,197,sv2x_mgmt_req_rssi_antenna_measurement_status,HB_PRIO_2,New,None,"",/warninginstance/7545227074.txt
50,5865872.7545224464,Inappropriate Assignment Type,Style,interop_logger.c,740,interop_log_initialize,HB_PRIO_2,New,None,"",/warninginstance/7545224464.txt
50,5865873.7545224463,Inappropriate Assignment Type,Style,interop_logger.c,739,interop_log_initialize,HB_PRIO_2,New,None,"",/warninginstance/7545224463.txt
50,5865874.7545224462,Inappropriate Assignment Type,Style,interop_logger.c,738,interop_log_initialize,HB_PRIO_2,New,None,"",/warninginstance/7545224462.txt
50,5865885.7545226577,Inappropriate Assignment Type,Style,cn_fac_mgmt.c,433,bsm_mgmt_req_handler_ext,HB_PRIO_2,New,None,"",/warninginstance/7545226577.txt
50,5865890.7545226578,Inappropriate Assignment Type,Style,cn_fac_mgmt.c,437,bsm_mgmt_req_handler_ext,HB_PRIO_2,New,None,"",/warninginstance/7545226578.txt
50,6253139.7545217936,Non-const String Literal,Style,config.c,23,"",HB_PRIO_2,New,None,"",/warninginstance/7545217936.txt
50,6253168.7545224664,Malformed switch Statement,Style,libpre_filter.c,463,prefilter_handle_resource_msg,HB_PRIO_2,New,None,"",/warninginstance/7545224664.txt
50,6253181.7545224692,Inappropriate Assignment Type,Style,libpre_filter.c,1103,sv2x_init_pre_filter,HB_PRIO_2,New,None,"",/warninginstance/7545224692.txt
50,6253194.7545224700,Side Effects in Logical Operand,Style,libpre_filter.c,1200,sv2x_pre_fltr_check,HB_PRIO_2,New,None,"",/warninginstance/7545224700.txt
50,6253221.7545224695,Inappropriate Assignment Type,Style,libpre_filter.c,1119,sv2x_init_pre_filter,HB_PRIO_2,New,None,"",/warninginstance/7545224695.txt
50,6253229.7545224689,Non-const String Literal,Style,libpre_filter.c,1094,sv2x_init_pre_filter,HB_PRIO_2,New,None,"",/warninginstance/7545224689.txt
50,6253309.7545224863,Non-const String Literal,Style,prefilter.c,307,send_notification,HB_PRIO_2,New,None,"",/warninginstance/7545224863.txt
50,6253345.7545224862,Inappropriate Assignment Type,Style,prefilter.c,295,send_notification,HB_PRIO_2,New,None,"",/warninginstance/7545224862.txt
50,6267440.7545227458,Side Effects in Logical Operand,Style,security.c,172,bsm_cert_attach_n_change,HB_PRIO_2,New,None,"",/warninginstance/7545227458.txt
50,6267441.7545227449,Inappropriate Assignment Type,Style,security.c,136,bsm_cert_attach_n_change,HB_PRIO_2,New,None,"",/warninginstance/7545227449.txt
50,7530785.7545212074,Inappropriate Assignment Type,Style,ds_livedata.c,945,fill_bsm_part1_live,HB_PRIO_2,New,None,"",/warninginstance/7545212074.txt
50,7782436.7545219340,Inappropriate Assignment Type,Style,sv2x_gnssif_api.c,391,sv2x_gnssif_validate_data_ext,HB_PRIO_2,New,None,"",/warninginstance/7545219340.txt
50,7836285.7545212078,Inappropriate Assignment Type,Style,ds_livedata.c,977,fill_bsm_part1_live,HB_PRIO_2,New,None,"",/warninginstance/7545212078.txt
50,7836290.7545212080,Inappropriate Assignment Type,Style,ds_livedata.c,982,fill_bsm_part1_live,HB_PRIO_2,New,None,"",/warninginstance/7545212080.txt
50,7836291.7545212081,Inappropriate Assignment Type,Style,ds_livedata.c,985,fill_bsm_part1_live,HB_PRIO_2,New,None,"",/warninginstance/7545212081.txt
50,7836296.7545212083,Inappropriate Assignment Type,Style,ds_livedata.c,990,fill_bsm_part1_live,HB_PRIO_2,New,None,"",/warninginstance/7545212083.txt
50,7836297.7545212084,Inappropriate Assignment Type,Style,ds_livedata.c,993,fill_bsm_part1_live,HB_PRIO_2,New,None,"",/warninginstance/7545212084.txt
50,7836302.7545212086,Inappropriate Assignment Type,Style,ds_livedata.c,998,fill_bsm_part1_live,HB_PRIO_2,New,None,"",/warninginstance/7545212086.txt
50,8157705.7545218713,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,364,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218713.txt
50,8157799.7545223341,Inappropriate Assignment Type,Style,libdsmp.c,140,nw_mgmt_send_state,HB_PRIO_2,New,None,"",/warninginstance/7545223341.txt
50,8157810.7545223380,Inappropriate Assignment Type,Style,libdsmp.c,367,nw_mgmt_sm_handle_radio_event,HB_PRIO_2,New,None,"",/warninginstance/7545223380.txt
50,8157855.7545226756,Inappropriate Assignment Type,Style,sav_v2x_sec_mgmt.c,368,send_security_state,HB_PRIO_2,New,None,"",/warninginstance/7545226756.txt
50,8157858.7545227048,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext.c,59,sv2x_standby_op,HB_PRIO_2,New,None,"",/warninginstance/7545227048.txt
50,8206160.7545218668,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,281,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218668.txt
50,8206161.7545218669,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,282,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218669.txt
50,8206162.7545218670,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,283,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218670.txt
50,8206164.7545218726,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,441,sv2x_cn_mgmt_ext_init,HB_PRIO_2,New,None,"",/warninginstance/7545218726.txt
50,8206187.7545218803,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,907,sv2x_send_resume_request,HB_PRIO_2,New,None,"",/warninginstance/7545218803.txt
50,8206279.7545227050,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext.c,68,sv2x_standby_op,HB_PRIO_2,New,None,"",/warninginstance/7545227050.txt
